Car_ID,Brand,Model,Year,Fuel_Type,Transmission,Price,Mileage,Engine_CC,Seating_Capacity,Service_Cost
1,Toyota,Innova,2024,CNG,Manual,2020000,27.3,800,4,24100
2,Kia,EV6,2023,Diesel,Manual,1770000,16.4,2500,7,18800
3,Maruti Suzuki,Dzire,2016,Petrol,Manual,3430000,17.6,2000,6,24700
4,Honda,Amaze,2019,Petrol,Manual,1610000,19.2,2500,6,23300
5,Honda,City,2015,Electric,Manual,1840000,15.8,1000,5,5800
6,Kia,Sonet,2020,Petrol,Manual,2780000,21.5,1800,7,23700
7,Toyota,Glanza,2019,CNG,Manual,2270000,29.7,1500,7,13300
8,Volkswagen,Taigun,2017,CNG,Manual,2770000,20.2,1800,4,10200
9,Renault,Lodgy,2015,Petrol,Manual,2180000,10.5,1800,5,18900
10,Kia,EV6,2019,CNG,Automatic,990000,16.1,1800,6,15400
11,Honda,Jazz,2022,CNG,Automatic,3010000,17.2,1500,4,8500
12,Honda,Civic,2018,Petrol,Manual,2000000,10.8,2000,6,7800
13,Renault,Kiger,2022,Petrol,Automatic,820000,29.6,1000,5,19100
14,Honda,Jazz,2022,CNG,Manual,3020000,25.3,2500,7,7300
15,Mahindra,Scorpio,2017,Diesel,Manual,1280000,11.1,2500,6,23300
16,Tata Motors,Punch,2016,Diesel,Automatic,490000,19.2,2500,5,7300
17,Toyota,Fortuner,2016,CNG,Automatic,540000,14.9,1000,4,9500
18,Skoda,Kushaq,2023,Petrol,Automatic,3360000,21.8,1200,7,21100
19,Tata Motors,Tiago,2015,CNG,Manual,910000,13.5,1200,6,15400
20,Skoda,Superb,2017,CNG,Manual,1780000,26.9,1200,7,24800
21,Honda,Jazz,2024,Diesel,Manual,1430000,24.8,1500,4,5600
22,Toyota,Fortuner,2022,Diesel,Manual,2160000,29.7,2000,5,22600
23,Toyota,Camry,2023,Electric,Automatic,2890000,12.2,1200,5,23500
24,Mahindra,XUV700,2016,Electric,Automatic,1470000,21.3,1500,5,8800
25,Toyota,Glanza,2020,Electric,Automatic,2520000,16.5,2000,7,5600
26,Tata Motors,Punch,2024,Petrol,Manual,2650000,29.2,1200,7,8200
27,Maruti Suzuki,Ertiga,2015,Electric,Automatic,940000,15.6,1000,4,24300
28,Mahindra,XUV700,2019,Electric,Manual,2770000,13.8,2500,6,11400
29,Tata Motors,Altroz,2018,Electric,Manual,2820000,21.4,2500,5,15500
30,Renault,Kiger,2022,Electric,Automatic,1200000,22.5,1200,4,15100
31,Tata Motors,Harrier,2023,Diesel,Manual,1530000,13.9,2500,6,13200
32,Kia,Carnival,2022,Diesel,Automatic,950000,10.1,1500,5,14800
33,Toyota,Innova,2018,CNG,Manual,1010000,25,800,6,12400
34,Honda,Amaze,2021,CNG,Automatic,2370000,29.4,2500,6,17000
35,Volkswagen,Polo,2016,CNG,Automatic,2590000,28.8,1500,7,12400
36,Maruti Suzuki,Swift,2019,Diesel,Manual,1920000,11.9,1500,7,16600
37,Kia,EV6,2020,CNG,Automatic,1990000,16,1000,7,5100
38,Hyundai,Verna,2019,Diesel,Automatic,1730000,23,1800,7,19300
39,Skoda,Slavia,2017,Diesel,Automatic,3290000,10.7,1800,6,6800
40,Toyota,Glanza,2015,Diesel,Automatic,520000,14.5,1800,6,8300
41,Tata Motors,Harrier,2021,Diesel,Manual,1260000,25.9,1500,4,24400
42,Tata Motors,Harrier,2024,Diesel,Automatic,500000,16.8,2000,4,14000
43,Tata Motors,Nexon,2022,CNG,Manual,1860000,19.9,1200,5,14300
44,Tata Motors,Punch,2021,CNG,Automatic,410000,12.9,1500,7,19400
45,Mahindra,Scorpio,2022,CNG,Automatic,1290000,25.9,1800,6,16600
46,Maruti Suzuki,Dzire,2018,CNG,Manual,2340000,27.6,1500,7,12200
47,Honda,Civic,2024,Diesel,Manual,550000,23.3,2000,4,14700
48,Honda,Amaze,2022,Petrol,Automatic,960000,20.7,1000,7,21400
49,Volkswagen,Virtus,2021,Diesel,Manual,450000,14,1200,4,8300
50,Volkswagen,Tiguan,2020,Petrol,Manual,3160000,18.7,1800,6,5500
51,Skoda,Octavia,2015,CNG,Automatic,2900000,13.5,2500,4,23600
